Formula,Predicted H(HV),Predicted D(%),Composition,Al,Si,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Nb,Mo
Al0.056 Co1 Cr0.611 Fe0.639 V0.472,698,42.3,Al0.056 Co1 Cr0.611 Fe0.639 V0.472,0.02015838732901368,0.0,0.0,0.169906407487401,0.21994240460763137,0.0,0.23002159827213822,0.3599712023038157,0.0,0.0,0.0,0.0
Al0.067 Co1 Cr0.333 Fe0.933 Nb0.4 Ni0.533,449,36.0,Al0.067 Co1 Cr0.333 Fe0.933 Nb0.4 Ni0.533,0.020514390691977955,0.0,0.0,0.0,0.10195958358848745,0.0,0.28567054500918554,0.3061849357011635,0.16319657072872015,0.0,0.12247397428046541,0.0
Al0.069 Co1 Cr0.655 Fe0.621 Ni0.517 V0.586,481,35.1,Al0.069 Co1 Cr0.655 Fe0.621 Ni0.517 V0.586,0.02001160092807425,0.0,0.0,0.16995359628770304,0.1899651972157773,0.0,0.18010440835266825,0.29002320185614855,0.1499419953596288,0.0,0.0,0.0
Al0.07 Co1 Cr0.628 Fe0.535 Nb0.093,389,57.5,Al0.07 Co1 Cr0.628 Fe0.535 Nb0.093,0.03009458297506449,0.0,0.0,0.0,0.2699914015477214,0.0,0.23000859845227858,0.42992261392949266,0.0,0.0,0.03998280309544282,0.0
Al0.077 Co1 Cr0.846 Fe0.654 Mo0.308 Ni1,241,54.2,Al0.077 Co1 Cr0.846 Fe0.654 Mo0.308 Ni1,0.019819819819819822,0.0,0.0,0.0,0.21776061776061775,0.0,0.16833976833976835,0.2574002574002574,0.2574002574002574,0.0,0.0,0.07927927927927929
Al0.097 Co1 Cr0.903 Fe1 Nb0.194,544,52.5,Al0.097 Co1 Cr0.903 Fe1 Nb0.194,0.03036944270507201,0.0,0.0,0.0,0.2827175954915467,0.0,0.31308703819661865,0.31308703819661865,0.0,0.0,0.06073888541014402,0.0
Al0.103 Co1 Cr0.483 Fe0.655 Nb0.276 Ni0.655 V0.207,381,33.5,Al0.103 Co1 Cr0.483 Fe0.655 Nb0.276 Ni0.655 V0.207,0.03048239124001184,0.0,0.0,0.06126072802604321,0.14294169872743417,0.0,0.19384433264279377,0.29594554601953244,0.19384433264279377,0.0,0.08168097070139096,0.0
Al0.113 Co1 Cr0.339 V0.161,443,46.6,Al0.113 Co1 Cr0.339 V0.161,0.07005579665220087,0.0,0.0,0.09981401115933045,0.2101673899566026,0.0,0.0,0.6199628022318661,0.0,0.0,0.0,0.0
Al0.122 Co1 Cr0.585 Ni0.732,240,61.3,Al0.122 Co1 Cr0.585 Ni0.732,0.050020500205002046,0.0,0.0,0.0,0.2398523985239852,0.0,0.0,0.4100041000410004,0.3001230012300123,0.0,0.0,0.0
Al0.123 Co1 Cu0.215 Mn0.215,202,56.4,Al0.123 Co1 Cu0.215 Mn0.215,0.07920154539600771,0.0,0.0,0.0,0.0,0.1384417256922086,0.0,0.643915003219575,0.0,0.1384417256922086,0.0,0.0
Al0.139 Co1 Cr0.694 Fe0.944,344,60.2,Al0.139 Co1 Cr0.694 Fe0.944,0.05005401512423479,0.0,0.0,0.0,0.249909974792942,0.0,0.3399351818509182,0.3601008282319049,0.0,0.0,0.0,0.0
Al0.143 Co1 Cr0.75 Fe0.75 Ni0.429 V0.5,504,40.0,Al0.143 Co1 Cr0.75 Fe0.75 Ni0.429 V0.5,0.040033594624860024,0.0,0.0,0.13997760358342667,0.20996640537514,0.0,0.20996640537514,0.27995520716685335,0.12010078387458008,0.0,0.0,0.0
Al0.147 Co1 Cr0.676 Fe0.794 Mn0.324,360,55.6,Al0.147 Co1 Cr0.676 Fe0.794 Mn0.324,0.0499829989799388,0.0,0.0,0.0,0.22985379122747368,0.1101666099965998,0.26997619857191435,0.34002040122407345,0.0,0.0,0.0,0.0
Al0.158 Co1 Cr0.579 Fe0.632 Mo0.237,503,48.6,Al0.158 Co1 Cr0.579 Fe0.632 Mo0.237,0.06062931696085956,0.0,0.0,0.0,0.2221795855717575,0.0,0.24251726784343824,0.3837298541826554,0.0,0.0,0.0,0.09094397544128933
Al0.162 Co1 Cr0.811 Fe0.703,384,58.9,Al0.162 Co1 Cr0.811 Fe0.703,0.06053811659192826,0.0,0.0,0.0,0.30306427503736927,0.0,0.2627055306427504,0.3736920777279522,0.0,0.0,0.0,0.0
Al0.163 Co1 Cr0.558 Fe0.442 Mo0.163,442,48.9,Al0.163 Co1 Cr0.558 Fe0.442 Mo0.163,0.07007738607050731,0.0,0.0,0.0,0.23989681857265693,0.0,0.19002579535683575,0.42992261392949266,0.0,0.0,0.0,0.07007738607050731
Al0.167 Co1 Cr0.625 Cu0.208 Fe1 Nb0.375 Ni0.792,363,36.2,Al0.167 Co1 Cr0.625 Cu0.208 Fe1 Nb0.375 Ni0.792,0.04007679385649148,0.0,0.0,0.0,0.1499880009599232,0.0,0.23998080153587714,0.23998080153587714,0.1900647948164147,0.04991600671946244,0.08999280057595392,0.0
Al0.171 Co1 Cr0.514 Fe1 Nb0.2,472,50.5,Al0.171 Co1 Cr0.514 Fe1 Nb0.2,0.05927209705372617,0.0,0.0,0.0,0.17816291161178507,0.0,0.34662045060658575,0.34662045060658575,0.0,0.0,0.06932409012131716,0.0
Al0.171 Co1 Cr0.6 Fe0.914 Si0.143,543,54.7,Al0.171 Co1 Cr0.6 Fe0.914 Si0.143,0.06046676096181047,0.05056577086280056,0.0,0.0,0.21216407355021216,0.0,0.32319660537482325,0.3536067892503536,0.0,0.0,0.0,0.0
Al0.179 Co1 Cr0.429 Fe1 Mo0.214 Ni0.75,247,60.1,Al0.179 Co1 Cr0.429 Fe1 Mo0.214 Ni0.75,0.05011198208286674,0.0,0.0,0.0,0.12010078387458006,0.0,0.2799552071668533,0.2799552071668533,0.20996640537513997,0.0,0.0,0.059910414333706606
Al0.184 Co1 Cr0.789 Fe0.632,481,58.2,Al0.184 Co1 Cr0.789 Fe0.632,0.07063339731285988,0.0,0.0,0.0,0.30287907869481767,0.0,0.24261036468330135,0.3838771593090211,0.0,0.0,0.0,0.0
Al0.194 Co1 Cr0.75 Ni0.833,221,57.2,Al0.194 Co1 Cr0.75 Ni0.833,0.06985956067698955,0.0,0.0,0.0,0.2700756211739287,0.0,0.0,0.3601008282319049,0.29996398991717677,0.0,0.0,0.0
Al0.205 Co1 Cr0.432 Fe0.636,330,59.6,Al0.205 Co1 Cr0.432 Fe0.636,0.09018917729872414,0.0,0.0,0.0,0.19005719313682357,0.0,0.2798064232292125,0.43994720633523976,0.0,0.0,0.0,0.0
Al0.205 Co1 Cr0.615 Fe0.744,425,60.6,Al0.205 Co1 Cr0.615 Fe0.744,0.0799531981279251,0.0,0.0,0.0,0.23985959438377535,0.0,0.29017160686427457,0.39001560062402496,0.0,0.0,0.0,0.0
Al0.207 Co1 Cr0.828 Fe0.655 Ni0.724,190,58.5,Al0.207 Co1 Cr0.828 Fe0.655 Ni0.724,0.06063268892794375,0.0,0.0,0.0,0.242530755711775,0.0,0.1918570591681312,0.2929115407147041,0.21206795547744578,0.0,0.0,0.0
