Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
0,Al1 Cr1 Ta1 Zr1,AlCrZrTa,SS,SS,-8.8587401035635,50.7842862741079,89.2965021840923,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
1,Al1 Cr1 Ta1 Ti1,AlTiCrTa,SS,SS,-6.1878661373948,45.7275618777372,91.0858545838872,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2,Al1 Cr1 Ta1 Mo1,AlCrMoTa,SS,SS,-4.85846895444743,35.7595290127962,83.6668817606174,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
3,Al1 Cr1 Ta1 V1,AlVCrTa,SS,SS,-3.98802982775393,35.6058446697436,87.3349911806351,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
4,Al1 Cr1 Ta1 Pd1,AlCrPdTa,SS,SS,-5.00380437565696,38.8293661509242,92.3696686013438,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25
5,Al1 Cr1 Ta1 Nb1,AlCrNbTa,SS,SS,-6.43029009405265,43.4101994453282,88.3676810035309,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25
6,Al1 Cr1 Ta1 Hf1,AlCrHfTa,SS,SS,-7.65274792936887,47.9428942378959,88.4379085724625,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25
7,Al1 Cr1 Zr1 Ti1,AlTiCrZr,IM,IM,-9.97123759833448,55.2900631827212,109.330436161137,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
8,Al1 Cr1 Zr1 Mo1,AlCrZrMo,SS+IM,IM,-2.81582599670908,33.175339570781,87.3942821394481,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0
9,Al1 Cr1 Zr1 V1,AlVCrZr,IM,SS,-4.31481643078309,48.6464476802864,110.466046774479,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
10,Al1 Cr1 Zr1 Pd1,AlCrZrPd,SS+IM,SS,-3.01545126231259,41.2015772061722,110.400591805398,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0
11,Al1 Cr1 Zr1 Nb1,AlCrZrNb,SS+IM,SS+IM,-8.53574919122029,48.38974397321,90.5586847292392,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
